Id,Name,Category,ParsingName,RelativePath,ParentFolder
10c07cd0-ef91-4567-b850-448b77cb37f9,DpapiKeys,,,,
1777f761-68ad-4d8a-87bd-30b759fa33dd,Favorites,,,Favorites,
fd228cb7-ae11-4ae3-864c-16f3910ab8fe,Fonts,,,,f38bf404-1d43-42f2-9305-67de0b28fc23
054fae61-4dd8-4787-80b6-090220c4b700,GameTasks,,,Microsoft\Windows\GameExplorer,f1b32785-6fba-4fcf-9d55-7b8e7f157091
d9dc8a3b-b784-432e-a781-5a1130a75963,History,,,Microsoft\Windows\History,f1b32785-6fba-4fcf-9d55-7b8e7f157091
bcb5256f-79f6-4cee-b725-dc34e402fd46,ImplicitAppShortcuts,,,ImplicitAppShortcuts,9e3995ab-1f9c-4f13-b827-48b24b6c7174
4d9f7874-4e0c-4904-967b-40b0d20c3e4b,InternetFolder,,::{871C5380-42A0-1069-A2EA-08002B30309D},,
1b3ea5dc-b587-4786-b4ef-bd1dc332aeae,Libraries,,,Microsoft\Windows\Libraries,3eb685db-65f9-4cf6-a03a-e3ef65729f3d
bfb9d5e0-c6a9-404c-b2b2-ae6db6af4968,Links,,::{59031a47-3f72-44a7-89c5-5595fe6b30ee}\{bfb9d5e0-c6a9-404c-b2b2-ae6db6af4968},Links,
f1b32785-6fba-4fcf-9d55-7b8e7f157091,Local AppData,,,AppData\Local,
f42ee2d3-909f-4907-8871-4c22fc0bf756,Local Documents,,shell:::{d3162b92-9365-467a-956b-92703aca08af},Documents,
7d83ee9b-2244-4e70-b1f5-5393042af1e4,Local Downloads,,shell:::{088e3905-0323-4b02-9826-5d99428e115f},Downloads,
a0c69a99-21c8-4671-8703-7934162fcf1d,Local Music,,shell:::{3dfdf296-dbec-4fb4-81d1-6a3438bcf4de},Music,
0ddd015d-b06c-45d5-8c4c-f59713854639,Local Pictures,,shell:::{24ad3ad4-a569-4530-98e1-ab02f9417aa8},Pictures,
35286a68-3c57-41a1-bbb1-0eae73d76c95,Local Videos,,shell:::{f86fa3ab-70d2-4fc7-9c99-fcbf05467f3a},Videos,
a520a1a4-1780-4ff6-bd18-167343c5af16,LocalAppDataLow,,,AppData\LocalLow,
2a00375e-224c-49de-b8d1-440df7ef3ddc,LocalizedResourcesDir,,,,
98ec0e18-2098-4d44-8644-66979315a281,MAPIFolder,,shell:::{89D83576-6BD1-4C86-9454-BEB04E94C819}\*,,
2112ab0a-c86a-4ffe-a368-0de96e47012e,MusicLibrary,,::{031E4825-7B94-4dc3-B131-E946B44C8DD5}\{2112AB0A-C86A-4ffe-A368-0DE96E47012E},Music.library-ms,1b3ea5dc-b587-4786-b4ef-bd1dc332aeae
4bd8d571-6d19-48d3-be97-422220080e43,My Music,,shell:::{1CF1260C-4DD0-4EBB-811F-33C572699FDE},Music,
33e28130-4e1e-4676-835a-98395c3bc3bb,My Pictures,,shell:::{3ADD1653-EB32-4CB0-BBD7-DFA0ABB5ACCA},Pictures,
18989b1d-99b5-455b-841c-ab7c74e4ddfc,My Video,,shell:::{A0953C92-50DC-43BF-BE83-3742FED03C9C},Videos,
0ac0837c-bbf8-452a-850d-79d08e667ca7,MyComputerFolder,,::{20D04FE0-3AEA-1069-A2D8-08002B30309D},,
c5abbf53-e17f-4121-8900-86626fc2c973,NetHood,,,Microsoft\Windows\Network Shortcuts,3eb685db-65f9-4cf6-a03a-e3ef65729f3d
d20beec4-5ca8-4905-ae3b-bf251ea09b53,NetworkPlacesFolder,,::{F02C1A0D-BE21-4350-88B0-7367FC96EF3C},,
c1bae2d0-10df-4334-bedd-7aa20b227a9d,OEM Links,,,OEM Links,62ab5d82-fdc1-4dc3-a9dd-070d1d495d97
a52bba46-e9e1-435f-b3d9-28daa648c0f6,OneDrive,,shell:::{018D5C66-4533-4307-9B53-224DE2ED1FE6},OneDrive,5e6c858f-0e22-4760-9afe-ea3317b67173
767e6811-49cb-4273-87c2-20f355e1085b,OneDriveCameraRoll,,,Camera Roll,339719b5-8c47-4894-94c2-d8f77add44a6
24d89e24-2f19-4534-9dde-6a6671fbb8fe,OneDriveDocuments,,,Documents,a52bba46-e9e1-435f-b3d9-28daa648c0f6
c3f2459e-80d6-45dc-bfef-1f769f2be730,OneDriveMusic,,,Music,a52bba46-e9e1-435f-b3d9-28daa648c0f6
339719b5-8c47-4894-94c2-d8f77add44a6,OneDrivePictures,,,Pictures,a52bba46-e9e1-435f-b3d9-28daa648c0f6
2c36c0aa-5812-4b87-bfd0-4cd0dfb19b39,Original Images,,,Microsoft\Windows Photo Gallery\Original Images,f1b32785-6fba-4fcf-9d55-7b8e7f157091
fdd39ad0-238f-46af-adb4-6c85480369c7,Personal,,shell:::{A8CDFF1C-4878-43be-B5FD-F8091C1C60D0},Documents,
69d2cf90-fc33-4fb7-9a0c-ebb0f0fcb43c,PhotoAlbums,,,Slide Shows,33e28130-4e1e-4676-835a-98395c3bc3bb
a990ae9f-a03b-4e80-94bc-9912d7504104,PicturesLibrary,,::{031E4825-7B94-4dc3-B131-E946B44C8DD5}\{A990AE9F-A03B-4e80-94BC-9912D7504104},Pictures.library-ms,1b3ea5dc-b587-4786-b4ef-bd1dc332aeae
de92c1c7-837f-4f69-a3bb-86e631204a23,Playlists,,,Playlists,4bd8d571-6d19-48d3-be97-422220080e43
9274bd8d-cfd1-41c3-b35e-b13f55a758f4,PrintHood,,,Microsoft\Windows\Printer Shortcuts,3eb685db-65f9-4cf6-a03a-e3ef65729f3d
76fc4e2d-d6ad-4519-a663-37bd56068185,PrintersFolder,,::{21EC2020-3AEA-1069-A2DD-08002B30309D}\::{2227A280-3AEA-1069-A2DE-08002B30309D},,
5e6c858f-0e22-4760-9afe-ea3317b67173,Profile,,,,
905e63b6-c1bf-494e-b29c-65b732d3d21a,ProgramFiles,,,,
f7f1ed05-9f6d-47a2-aaae-29d317c6f066,ProgramFilesCommon,,,,
6365d5a7-0f0d-45e5-87f6-0da56b6a4f7d,ProgramFilesCommonX64,,,,
de974d24-d9c6-4d3e-bf91-f4455120b917,ProgramFilesCommonX86,,,,
6d809377-6af0-444b-8957-a3773f02200e,ProgramFilesX64,,,,
7c5a40ef-a0fb-4bfc-874a-c0f2e0b9fa8e,ProgramFilesX86,,,,
