ID     , UnitDesc                               , _ERRORS_
DI21722, "Observed in AI, DEM and SV"           , "General Database Error:  CommandText: INSERT INTO AssetManagement_Storm.COMPSTBF ( [ADDBY], [ADDRKEY], [AREA], [COMPKEY], [BUDGETKEY], [BLDGFLOOR], [BLDGROOM], [COMPLEXKEY], [DISTRICT], [UNITID], [MODBY], [LOC], [MAINKEY], [MFGKEY], [ORGANIZATION], [OWN], [RESP], [SLKEY], [SERVSTAT], [SITEKEY], [SEGKEY], [SUBAREA], [UNITDESC], [UNITTYPE], [USGAREAKEY] ) VALUES(@ADDBY, @ADDRKEY, @AREA, @COMPKEY, @BUDGETKEY, @BLDGFLOOR, @BLDGROOM, @COMPLEXKEY, @DISTRICT, @UNITID, @MODBY, @LOC, @MAINKEY, @MFGKEY, @ORGANIZATION, @OWN, @RESP, @SLKEY, @SERVSTAT, @SITEKEY, @SEGKEY, @SUBAREA, @UNITDESC, @UNITTYPE, @USGAREAKEY ) @ADDBY='CollierB',@ADDRKEY='1',@AREA=' ',@COMPKEY='156922',@BUDGETKEY='1',@BLDGFLOOR='1',@BLDGROOM='1',@COMPLEXKEY='1',@DISTRICT=' ',@UNITID='DI21722',@MODBY='',@LOC=' ',@MAINKEY='1',@MFGKEY='1',@ORGANIZATION=' ',@OWN=' ',@RESP=' ',@SLKEY='1',@SERVSTAT=' ',@SITEKEY='1',@SEGKEY='1',@SUBAREA=' ',@UNITDESC='Observed in AI, DEM and SV',@UNITTYPE=' ',@USGAREAKEY='1' : Violation of UNIQUE KEY constraint 'U_COMPSTBF_UNITID'. Cannot insert duplicate key in object 'ASSETMANAGEMENT_STORM.COMPSTBF'. The duplicate key value is (DI21722). The statement has been terminated."
DI21009, Existing or background feature in Plans, "General Database Error:  CommandText: INSERT INTO AssetManagement_Storm.COMPSTBF ( [ADDBY], [ADDRKEY], [AREA], [COMPKEY], [BUDGETKEY], [BLDGFLOOR], [BLDGROOM], [COMPLEXKEY], [DISTRICT], [UNITID], [MODBY], [LOC], [MAINKEY], [MFGKEY], [ORGANIZATION], [OWN], [RESP], [SLKEY], [SERVSTAT], [SITEKEY], [SEGKEY], [SUBAREA], [UNITDESC], [UNITTYPE], [USGAREAKEY] ) VALUES(@ADDBY, @ADDRKEY, @AREA, @COMPKEY, @BUDGETKEY, @BLDGFLOOR, @BLDGROOM, @COMPLEXKEY, @DISTRICT, @UNITID, @MODBY, @LOC, @MAINKEY, @MFGKEY, @ORGANIZATION, @OWN, @RESP, @SLKEY, @SERVSTAT, @SITEKEY, @SEGKEY, @SUBAREA, @UNITDESC, @UNITTYPE, @USGAREAKEY ) @ADDBY='CollierB',@ADDRKEY='1',@AREA=' ',@COMPKEY='156975',@BUDGETKEY='1',@BLDGFLOOR='1',@BLDGROOM='1',@COMPLEXKEY='1',@DISTRICT=' ',@UNITID='DI21009',@MODBY='',@LOC=' ',@MAINKEY='1',@MFGKEY='1',@ORGANIZATION=' ',@OWN=' ',@RESP=' ',@SLKEY='1',@SERVSTAT=' ',@SITEKEY='1',@SEGKEY='1',@SUBAREA=' ',@UNITDESC='Existing or background feature in Plans',@UNITTYPE=' ',@USGAREAKEY='1' : Violation of UNIQUE KEY constraint 'U_COMPSTBF_UNITID'. Cannot insert duplicate key in object 'ASSETMANAGEMENT_STORM.COMPSTBF'. The duplicate key value is (DI21009). The statement has been terminated."
