ID     , UnitDesc   , _ERRORS_
CD21400, 10'x 8' CBC, "General Database Error:  CommandText: INSERT INTO AssetManagement_Storm.COMPSTSL ( [ADDBY], [ADDRKEY], [AREA], [COMPKEY], [BUDGETKEY], [BLDGKEY], [BLDGFLOOR], [BLDGROOM], [COMPLEXKEY], [DISTRICT], [UNITID], [MODBY], [LOC], [MAINKEY], [MFGKEY], [MUNICOND], [ORGANIZATION], [OWNCOND], [OWN], [PIPETYPE], [SERVSTAT], [SRVTYPE], [SIC], [SITEKEY], [SEGKEY], [SUBAREA], [SURF], [TAPADDRKEY], [UNITDESC], [UNITTYPE], [USGAREAKEY] ) VALUES(@ADDBY, @ADDRKEY, @AREA, @COMPKEY, @BUDGETKEY, @BLDGKEY, @BLDGFLOOR, @BLDGROOM, @COMPLEXKEY, @DISTRICT, @UNITID, @MODBY, @LOC, @MAINKEY, @MFGKEY, @MUNICOND, @ORGANIZATION, @OWNCOND, @OWN, @PIPETYPE, @SERVSTAT, @SRVTYPE, @SIC, @SITEKEY, @SEGKEY, @SUBAREA, @SURF, @TAPADDRKEY, @UNITDESC, @UNITTYPE, @USGAREAKEY ) @ADDBY='CollierB',@ADDRKEY='1',@AREA=' ',@COMPKEY='156863',@BUDGETKEY='1',@BLDGKEY='1',@BLDGFLOOR='1',@BLDGROOM='1',@COMPLEXKEY='1',@DISTRICT=' ',@UNITID='CD21400',@MODBY='',@LOC=' ',@MAINKEY='1',@MFGKEY='1',@MUNICOND=' ',@ORGANIZATION=' ',@OWNCOND=' ',@OWN=' ',@PIPETYPE=' ',@SERVSTAT=' ',@SRVTYPE=' ',@SIC=' ',@SITEKEY='1',@SEGKEY='1',@SUBAREA=' ',@SURF=' ',@TAPADDRKEY='1',@UNITDESC='10'x 8' CBC',@UNITTYPE=' ',@USGAREAKEY='1' : Violation of UNIQUE KEY constraint 'U_COMPSTSL_UNITID'. Cannot insert duplicate key in object 'ASSETMANAGEMENT_STORM.COMPSTSL'. The duplicate key value is (CD21400). The statement has been terminated."
CD21400, 10'x 8' CBC, "General Database Error:  CommandText: INSERT INTO AssetManagement_Storm.COMPSTSL ( [ADDBY], [ADDRKEY], [AREA], [COMPKEY], [BUDGETKEY], [BLDGKEY], [BLDGFLOOR], [BLDGROOM], [COMPLEXKEY], [DISTRICT], [UNITID], [MODBY], [LOC], [MAINKEY], [MFGKEY], [MUNICOND], [ORGANIZATION], [OWNCOND], [OWN], [PIPETYPE], [SERVSTAT], [SRVTYPE], [SIC], [SITEKEY], [SEGKEY], [SUBAREA], [SURF], [TAPADDRKEY], [UNITDESC], [UNITTYPE], [USGAREAKEY] ) VALUES(@ADDBY, @ADDRKEY, @AREA, @COMPKEY, @BUDGETKEY, @BLDGKEY, @BLDGFLOOR, @BLDGROOM, @COMPLEXKEY, @DISTRICT, @UNITID, @MODBY, @LOC, @MAINKEY, @MFGKEY, @MUNICOND, @ORGANIZATION, @OWNCOND, @OWN, @PIPETYPE, @SERVSTAT, @SRVTYPE, @SIC, @SITEKEY, @SEGKEY, @SUBAREA, @SURF, @TAPADDRKEY, @UNITDESC, @UNITTYPE, @USGAREAKEY ) @ADDBY='CollierB',@ADDRKEY='1',@AREA=' ',@COMPKEY='156864',@BUDGETKEY='1',@BLDGKEY='1',@BLDGFLOOR='1',@BLDGROOM='1',@COMPLEXKEY='1',@DISTRICT=' ',@UNITID='CD21400',@MODBY='',@LOC=' ',@MAINKEY='1',@MFGKEY='1',@MUNICOND=' ',@ORGANIZATION=' ',@OWNCOND=' ',@OWN=' ',@PIPETYPE=' ',@SERVSTAT=' ',@SRVTYPE=' ',@SIC=' ',@SITEKEY='1',@SEGKEY='1',@SUBAREA=' ',@SURF=' ',@TAPADDRKEY='1',@UNITDESC='10'x 8' CBC',@UNITTYPE=' ',@USGAREAKEY='1' : Violation of UNIQUE KEY constraint 'U_COMPSTSL_UNITID'. Cannot insert duplicate key in object 'ASSETMANAGEMENT_STORM.COMPSTSL'. The duplicate key value is (CD21400). The statement has been terminated."
